"date","USDPHP","BDO","ICT","SM","AAPL_PHP","MSFT_PHP","BTC_PHP","SPY_PHP"
2021-03-01,48.6311,109.4,120.5,1025,6042.18074572,11032.77717437,2413621.90255242,17591.88219754
2021-03-02,48.545,109.3,120.1,1046,5905.460414,10870.545924,2348557.9870235,17423.6985825
2021-03-03,48.586,109,120.8,1057,5765.8998226,10586.184903,2455451.0355292,17207.4315384
2021-03-04,48.59,108.9,118.8,1040,5675.200243,10548.437113,2359587.15312,16995.897662
2021-03-05,48.4836,110.8,124.9,1041,5723.58109884,10751.41768932,2372171.87015292,17270.66314776
2021-03-08,48.4915,106,125.3,1039,5485.9500763,10557.70030705,2533512.2894511,17187.46788535
2021-03-09,48.625,108.9,127.6,1040,5724.669875,10884.268625,2665822.69885,17480.86255
2021-03-10,48.483,105.9,128.4,1057,5655.6292194,10789.3486404,2715462.5684364,17538.3082962
2021-03-11,48.502,105,127.9,1030,5751.2168038,11012.3111972,2803663.9835922,17723.0721682
2021-03-12,48.395,105.9,127,1034,5694.7703165,10924.0726835,2774586.485871,17707.788574
2021-03-15,48.3676,102.3,122.6,1018,5830.74320056,10874.35207872,2704097.04802592,17803.30098432
2021-03-16,48.485,104.6,125,1003,5919.3736495,11035.37994,2754185.6880155,17824.007215
2021-03-17,48.4993,103.8,127.6,1005,5882.92629056,11007.51752632,2855197.17362385,17890.05803925
2021-03-18,48.827,106,126.5,987,5721.8652355,10786.4262797,2825077.5796113,17748.8879312
2021-03-19,48.55,102,124,958.5,5663.915825,10708.03264,2832729.969165,17615.54215
2021-03-22,48.4511,103.4,123.7,961,5812.54280392,10947.87004781,2641997.03308395,17720.03049322
2021-03-23,48.662,105,123.4,963,5797.6296096,11069.607429,2663706.5561886,17657.0845592
2021-03-24,48.76,105,126.5,970,5693.154212,10992.922496,2573273.190656,17602.70132
2021-03-25,48.731,105,126.5,984,5713.4612219,10840.8054682,2519595.4307062,17691.204778
2021-03-26,48.62,105,124.5,980,5729.755174,11008.841844,2680776.13375,17935.344284
2021-03-29,48.509,106,124.1,970,5725.1631543,10926.118651,2801404.4129928,17885.3604671
2021-03-30,48.638,103.9,121.1,970,5669.926212,10797.3003978,2865638.6743132,17885.3453206
2021-03-31,48.665,102,121,960,5779.533264,10985.948556,2867284.95928,17967.8139095
2021-04-05,48.757,101.5,122,984,5968.2273532,11627.618117,2879485.0015273,18457.352406
2021-04-06,48.775,101.8,128,992,5985.131475,11575.40006,2838332.329735,18453.2652375
2021-04-07,48.857,101.8,127.5,998,6075.4705497,11690.2928749,2738382.9394375,18505.6782611
2021-04-08,48.825,101.4,125.5,965,6188.2709175,11839.2471225,2847667.0101075,18581.340015
2021-04-12,48.793,103.5,124.8,972,6225.9624035,11955.7585486,2922381.2571083,18710.9883817
2021-04-13,48.72,101.4,126.6,970,6367.747848,12058.22436,3093888.42504,18738.359976
2021-04-14,48.38,104,126.6,980,6210.424488,11839.737444,3053247.058614,18544.044324
2021-04-15,48.55,104.9,126.5,980,6348.83495,12063.097125,3073895.268035,18809.109915
2021-04-19,48.44,105.2,129,975,6350.464624,12000.520756,2699283.425664,18736.717944
2021-04-20,48.53,106.5,130,977,6280.636128,12000.512959,2740636.204136,18634.093218
2021-04-21,48.304,105.6,130,968,6269.7046272,12051.9252864,2603879.7616992,18722.8139552
2021-04-22,48.467,103,128.9,970,6217.3516067,11934.3492922,2508762.1048778,18614.4153479
2021-04-26,48.423,105.2,127.5,958,6342.5849667,12126.5912592,2615895.3890997,18838.4016009
2021-04-27,48.56,104,127,959,6344.951576,12180.4262,2672408.171232,18887.63052
2021-04-28,48.557,105.9,129.5,990,6306.3160965,11835.1666432,2662123.1084267,18881.0349839
2021-04-29,48.455,106,131,968,6288.3590715,11715.1930885,2595012.825977,18961.4445185
2021-05-03,47.9139,103.7,129.3,960,6174.34806126,11554.55197836,2740689.1187727,18666.6804732
2021-05-04,48.157,104.8,130.1,960,5986.0836495,11425.5082978,2568383.2424387,18645.6439665
2021-05-05,47.9,104.8,128.5,951,5965.78214,11303.99285,2750609.97362,18551.94303
2021-05-06,47.95,104.8,128.5,921,6048.465745,11465.463555,2704212.92302,18719.61287
2021-05-10,47.957,105.5,141.2,939,5924.6413499,11350.0455341,2678868.2799333,18671.8565306
2021-05-11,48.004,106,140,940,5886.5049012,11317.5046468,2722046.3798968,18523.351484
2021-05-12,48.055,105.6,138.6,923.5,5745.801796,10996.8629505,2361928.969036,18149.076015
2021-05-17,47.97,105.9,138,930,5899.153923,11261.259711,2088494.436249,18568.769661
